What is the capital of France?|A) Paris|B) Rome|C) Berlin|D) Madrid|A
Which planet is known as the Red Planet?|A) Venus|B) Jupiter|C) Mars|D) Saturn|C
What is 7 multiplied by 8?|A) 54|B) 56|C) 63|D) 64|B
Which element has the chemical symbol O?|A) Gold|B) Osmium|C) Oxygen|D) Oxide|C
Who wrote the play Romeo and Juliet?|A) Charles Dickens|B) Homer|C) Mark Twain|D) William Shakespeare|D
What is the largest ocean on Earth?|A) Atlantic|B) Indian|C) Arctic|D) Pacific|D
How many sides does a hexagon have?|A) 5|B) 6|C) 7|D) 8|B
What is the boiling point of water in Celsius?|A) 90|B) 95|C) 100|D) 110|C
Which country invented the printing press?|A) France|B) China|C) England|D) Germany|D
What is the square root of 144?|A) 10|B) 11|C) 12|D) 14|C
Which gas do plants absorb from the atmosphere?|A) Oxygen|B) Nitrogen|C) Carbon Dioxide|D) Hydrogen|C
How many continents are there on Earth?|A) 5|B) 6|C) 7|D) 8|C
What is the fastest land animal?|A) Lion|B) Cheetah|C) Horse|D) Leopard|B
In which year did World War II end?|A) 1943|B) 1944|C) 1946|D) 1945|D
What is the currency of Japan?|A) Won|B) Yuan|C) Yen|D) Ringgit|C
